R2-PINH,152.54,13.47,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,77.53,63.49,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,138.94,57.77,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,145.60,59.77,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,106.38,49.13,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,69.51,12.83,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,66.89,13.91,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,37.01,35.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,34.23,35.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,32.85,60.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,6.27,100.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,75.79,26.41,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.65,107.73,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,51.75,107.37,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,73.15,63.34,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,67.52,107.74,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,77.56,26.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,27.09,107.59,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,150.82,19.62,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.66,11.89,0.00,,SJ
TP1,34.11,81.49,0.00,TPTP20R,TP20R
TP10,35.58,22.61,0.00,TPTP20R,TP20R
TP11,88.39,44.39,0.00,TPTP20R,TP20R
TP12,28.33,22.56,0.00,TPTP20R,TP20R
TP13,40.38,76.31,0.00,TPTP20R,TP20R
TP14,129.13,53.11,0.00,TPTP20R,TP20R
TP15,67.98,71.31,0.00,TPTP20R,TP20R
TP16,73.73,71.41,0.00,TPTP20R,TP20R
TP17,34.88,16.61,0.00,TPTP20R,TP20R
TP2,40.42,81.60,0.00,TPTP20R,TP20R
TP3,116.95,62.79,0.00,TPTP20R,TP20R
TP4,111.97,62.89,0.00,TPTP20R,TP20R
TP5,35.29,27.89,0.00,TPTP20R,TP20R
TP6,34.01,76.09,0.00,TPTP20R,TP20R
TP7,129.13,49.29,0.00,TPTP20R,TP20R
TP8,29.15,27.79,0.00,TPTP20R,TP20R
TP9,27.87,16.99,0.00,TPTP20R,TP20R
U1,38.29,68.26,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.30,66.54,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,70.15,56.48,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,117.34,56.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
